election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
K20,loc:187,locality,loc:187,187,כפר הס,2,2,952,754,752,2,אמת,455,108,347,0.605053,455,2,2,0,0,0,12,0,0,0,0,21,2,48,89,1,0,0,0,108,0,0,11,0,0,1
K20,loc:188,locality,loc:188,188,אשדות יעקב (מאוחד),1,1,424,296,296,0,אמת,175,34,141,0.591216,175,1,0,0,0,0,9,0,0,0,0,19,9,30,14,0,0,0,0,34,0,0,1,3,0,1
K20,loc:189,locality,loc:189,189,כפר פינס,1,1,348,298,297,1,טב,176,54,122,0.592593,6,2,0,0,0,0,176,0,0,0,0,13,0,54,2,3,0,1,0,8,0,0,1,29,0,2
K20,loc:190,locality,loc:190,190,כפר ויתקין,2,2,1356,1087,1082,5,אמת,678,147,531,0.626617,678,0,2,0,0,0,21,0,0,0,0,42,3,36,138,0,0,0,0,147,0,0,11,2,0,2
K20,loc:191,locality,loc:191,191,הדר עם,1,1,447,376,376,0,אמת,180,67,113,0.478723,180,1,1,0,0,0,11,0,0,0,0,29,3,24,50,0,0,0,0,67,0,0,8,1,0,1
K20,loc:192,locality,loc:192,192,כפר החורש,1,1,425,334,331,3,אמת,203,35,168,0.613293,203,0,0,0,0,0,7,0,0,0,0,14,14,23,35,0,0,0,0,30,0,0,5,0,0,0
K20,loc:193,locality,loc:193,193,כפר חיים,1,1,400,327,326,1,אמת,197,47,150,0.604294,197,0,2,0,0,0,12,0,0,0,0,9,4,23,28,0,0,0,0,47,0,0,3,1,0,0
K20,loc:194,locality,loc:194,194,משמר השרון,1,1,509,344,344,0,אמת,259,26,233,0.752907,259,0,1,0,0,0,3,0,0,0,0,7,1,18,26,0,0,0,0,25,0,0,3,1,0,0
K20,loc:195,locality,loc:195,195,קדימה-צורן,20,20,13273,10329,10273,56,אמת,3293,2108,1185,0.320549,3293,33,10,1,0,2,507,2,0,0,0,950,295,2108,480,4,0,0,0,1861,4,5,127,101,12,478
K20,loc:196,locality,loc:196,196,גיבתון,1,1,228,193,193,0,אמת,103,28,75,0.533679,103,2,0,0,0,0,8,0,0,0,0,10,1,18,20,0,0,0,0,28,0,0,3,0,0,0
K20,loc:197,locality,loc:197,197,מעברות,2,2,735,581,581,0,אמת,282,206,76,0.48537,282,0,2,0,0,0,6,0,0,0,0,9,0,16,206,0,0,0,0,48,1,1,9,0,0,1
K20,loc:198,locality,loc:198,198,צופית,2,2,763,600,600,0,אמת,318,91,227,0.53,318,1,2,0,0,0,17,0,0,0,0,27,5,54,74,0,0,1,0,91,0,1,8,0,0,1
K20,loc:199,locality,loc:199,199,אשדות יעקב (איחוד),1,1,607,449,448,1,אמת,261,58,203,0.582589,261,0,1,0,0,0,20,0,0,0,0,23,6,44,29,0,0,0,0,58,0,0,5,0,0,1
K20,loc:200,locality,loc:200,200,בית ינאי,1,1,321,222,222,0,אמת,136,31,105,0.612613,136,0,1,0,0,0,6,0,0,0,0,11,1,8,31,0,0,0,0,27,0,0,1,0,0,0
K20,loc:2002,locality,loc:2002,2002,תנובות,1,1,571,453,452,1,אמת,129,127,2,0.285398,129,2,0,0,0,0,34,0,0,0,0,66,1,127,8,0,0,0,0,44,0,0,9,19,0,13
K20,loc:2003,locality,loc:2003,2003,תלמי אלעזר,1,1,553,435,433,2,אמת,154,98,56,0.355658,154,0,0,0,0,0,18,0,0,0,0,35,7,98,26,1,0,0,0,81,0,0,13,0,0,0
K20,loc:2008,locality,loc:2008,2008,שדה יצחק,1,1,366,271,270,1,אמת,109,49,60,0.403704,109,0,0,0,0,0,12,0,0,0,0,27,1,48,20,0,0,0,0,49,0,0,2,2,0,0
K20,loc:2009,locality,loc:2009,2009,יובל,1,1,447,354,354,0,אמת,116,85,31,0.327684,116,3,0,0,0,0,22,0,0,0,0,49,3,85,13,2,0,0,0,27,0,2,12,3,0,17
K20,loc:2010,locality,loc:2010,2010,כפר בן נון,1,1,467,381,381,0,אמת,126,69,57,0.330709,126,0,0,0,0,0,7,0,0,0,0,35,3,69,62,0,0,0,0,69,0,1,5,2,0,2
K20,loc:2011,locality,loc:2011,2011,ינון,2,2,823,633,633,0,מחל,270,75,195,0.42654,71,2,54,1,0,0,47,1,0,0,0,75,11,270,3,0,0,1,1,29,0,0,11,31,0,25
K20,loc:2012,locality,loc:2012,2012,אורות,1,1,421,321,320,1,אמת,180,39,141,0.5625,180,0,0,0,0,0,7,0,0,0,0,24,3,39,29,0,0,0,0,29,0,0,7,0,1,1
K20,loc:2013,locality,loc:2013,2013,בן שמן (מושב),1,1,569,460,459,1,אמת,179,91,88,0.389978,179,1,1,1,0,0,16,0,0,0,0,45,4,91,42,0,0,0,0,68,0,0,5,3,0,3
K20,loc:2014,locality,loc:2014,2014,גבעולים,1,1,258,216,212,4,מחל,148,24,124,0.698113,5,2,0,0,0,0,7,0,0,0,0,24,1,148,0,0,0,0,0,2,0,1,0,14,0,8
K20,loc:2015,locality,loc:2015,2015,שדי חמד,1,1,694,567,565,2,אמת,230,98,132,0.40708,230,0,0,0,0,2,23,0,0,0,0,53,9,80,49,0,0,0,0,98,0,0,19,0,0,2
K20,loc:2016,locality,loc:2016,2016,רוויה,1,1,221,152,150,2,מחל,68,28,40,0.453333,5,5,0,0,0,0,13,0,0,0,0,26,0,68,1,0,0,1,0,1,0,0,1,1,0,28
K20,loc:2018,locality,loc:2018,2018,גבעת חיים (איחוד),2,2,897,691,691,0,אמת,500,105,395,0.723589,500,2,2,0,0,0,7,0,0,0,0,10,5,5,105,0,0,0,0,51,0,1,3,0,0,0
K20,loc:202,locality,loc:202,202,בית עובד,1,1,267,225,225,0,אמת,135,26,109,0.6,135,0,0,0,0,0,3,0,0,0,0,10,2,17,23,0,0,0,0,26,0,0,7,1,1,0
K20,loc:2021,locality,loc:2021,2021,אשל הנשיא,1,1,93,59,59,0,אמת,25,9,16,0.423729,25,0,2,0,0,0,6,0,0,0,0,9,1,7,3,0,0,0,0,4,0,0,0,1,0,1
K20,loc:2023,locality,loc:2023,2023,להב,1,1,407,289,289,0,אמת,140,80,60,0.484429,140,0,3,0,0,0,4,0,1,0,0,10,1,7,80,0,0,0,0,30,0,0,10,1,1,1
K20,loc:2024,locality,loc:2024,2024,אום אל-קוטוף,1,1,626,520,519,1,ודעם,477,27,450,0.919075,5,0,477,0,0,0,0,0,0,0,2,0,0,1,27,0,0,0,1,1,0,0,0,0,0,5
K20,loc:2026,locality,loc:2026,2026,ירדנה,1,1,286,198,195,3,מחל,88,31,57,0.451282,30,1,0,0,0,0,21,0,0,0,0,31,2,88,3,0,0,0,0,4,0,0,3,0,0,12
K20,loc:2029,locality,loc:2029,2029,מדרך עוז,1,1,517,396,391,5,מחל,142,70,72,0.363171,70,8,0,0,0,0,39,0,0,0,0,47,17,142,7,0,0,0,0,26,0,0,8,5,0,22
K20,loc:2030,locality,loc:2030,2030,מנוחה,1,1,361,282,282,0,מחל,184,21,163,0.652482,17,5,0,0,0,0,21,0,0,0,0,13,0,184,2,0,0,0,0,11,0,0,1,7,0,21
K20,loc:2033,locality,loc:2033,2033,בית חלקיה,1,1,391,330,328,2,ג,292,11,281,0.890244,1,292,0,0,0,0,5,0,0,0,0,1,0,5,0,2,0,0,0,1,0,0,0,11,0,10
K20,loc:2034,locality,loc:2034,2034,חצור הגלילית,11,11,6885,4914,4873,41,מחל,2156,699,1457,0.442438,295,699,4,0,0,0,303,1,0,0,1,327,264,2156,10,1,0,0,1,105,1,5,49,167,3,481
K20,loc:2035,locality,loc:2035,2035,עדנים,1,1,292,229,229,0,אמת,91,54,37,0.39738,91,0,0,0,0,0,8,0,0,0,0,7,4,38,13,0,0,0,0,54,0,0,11,0,1,2
K20,loc:2038,locality,loc:2038,2038,ברקת,2,2,971,853,853,0,מחל,326,244,82,0.382181,5,11,0,0,0,0,141,0,0,0,0,41,1,326,1,0,0,2,0,7,0,0,3,244,0,71
K20,loc:204,locality,loc:204,204,אלישיב,1,1,467,388,387,1,מחל,157,72,85,0.405685,56,0,0,0,0,0,36,0,0,0,0,72,4,157,9,0,1,0,0,18,0,0,6,5,0,23
K20,loc:2042,locality,loc:2042,2042,עין גדי,1,1,441,297,294,3,אמת,172,41,131,0.585034,172,0,2,0,0,0,8,0,0,0,0,21,2,21,41,0,0,0,0,21,0,0,3,1,0,2
K20,loc:2043,locality,loc:2043,2043,בחן,1,1,520,418,418,0,אמת,242,62,180,0.578947,242,0,2,0,0,1,12,0,0,0,0,22,5,36,28,0,0,0,0,62,0,0,8,0,0,0
K20,loc:2044,locality,loc:2044,2044,מלילות,1,1,220,173,171,2,מחל,115,13,102,0.672515,1,2,0,0,0,0,12,0,0,0,0,3,4,115,0,0,0,0,0,6,0,1,3,10,1,13
K20,loc:2045,locality,loc:2045,2045,נחלה,1,1,392,337,335,2,מחל,114,62,52,0.340299,62,7,0,0,0,0,23,0,0,0,0,51,2,114,1,1,0,1,0,17,0,0,2,26,0,28
K20,loc:2046,locality,loc:2046,2046,סגולה,1,1,398,324,324,0,אמת,147,59,88,0.453704,147,1,0,0,0,0,12,0,0,0,0,32,4,59,20,0,0,0,0,37,0,0,5,1,1,5
K20,loc:2047,locality,loc:2047,2047,ניר משה,1,1,372,281,280,1,אמת,109,72,37,0.389286,109,0,0,0,0,0,11,0,0,0,0,21,1,72,18,1,0,0,0,29,0,1,5,4,0,8
K20,loc:2048,locality,loc:2048,2048,ניר עקיבא,1,1,393,315,314,1,אמת,77,61,16,0.245223,77,1,0,0,0,0,40,1,0,0,0,27,1,60,12,0,0,0,0,21,0,0,2,61,0,11
K20,loc:2049,locality,loc:2049,2049,שדה צבי,1,1,357,280,276,4,מחל,98,58,40,0.355072,58,1,0,0,0,0,13,0,0,0,0,29,4,98,16,0,0,0,0,19,0,0,4,8,0,26
K20,loc:205,locality,loc:205,205,חגלה,1,1,454,380,378,2,אמת,231,47,184,0.611111,231,0,0,0,0,0,12,0,0,0,0,19,1,18,47,0,0,0,0,41,0,0,7,0,1,1
K20,loc:2050,locality,loc:2050,2050,"תלמי ביל""ו",1,1,286,218,215,3,מחל,101,29,72,0.469767,21,0,0,0,0,0,22,0,0,0,0,29,5,101,1,0,0,0,0,9,0,0,5,12,0,10
K20,loc:2051,locality,loc:2051,2051,רווחה,1,1,413,332,332,0,מחל,170,51,119,0.512048,14,2,0,0,0,0,38,0,0,0,0,31,4,170,0,0,0,0,0,8,0,0,1,13,0,51
K20,loc:2052,locality,loc:2052,2052,אביטל,1,1,379,290,288,2,מחל,176,29,147,0.611111,16,0,0,0,0,0,23,0,0,0,0,29,1,176,1,0,0,0,0,5,0,0,2,19,0,16
K20,loc:2053,locality,loc:2053,2053,פרזון,1,1,302,228,227,1,מחל,124,28,96,0.546256,28,0,0,0,0,0,23,0,0,0,0,25,1,124,2,0,1,0,0,9,0,0,0,8,0,6
K20,loc:2054,locality,loc:2054,2054,מיטב,1,1,353,274,272,2,מחל,160,33,127,0.588235,17,0,0,0,0,0,24,0,0,0,0,33,5,160,1,0,0,0,0,13,0,0,2,12,0,5
K20,loc:2055,locality,loc:2055,2055,מאור,1,1,760,612,611,1,אמת,194,153,41,0.317512,194,1,1,0,0,0,43,0,0,0,0,59,7,153,44,1,0,0,0,73,0,0,10,12,0,13
K20,loc:2057,locality,loc:2057,2057,שדי תרומות,1,1,341,231,231,0,מחל,148,33,115,0.640693,9,2,0,0,0,0,15,0,0,0,0,33,3,148,0,0,0,0,0,4,0,3,3,3,0,8
K20,loc:2059,locality,loc:2059,2059,"פעמי תש""ז",1,1,330,267,264,3,מחל,109,72,37,0.412879,23,3,0,0,0,0,8,0,0,0,0,17,2,109,4,0,0,0,0,12,0,0,3,11,0,72
K20,loc:206,locality,loc:206,206,רמות השבים,2,2,1050,808,804,4,אמת,436,117,319,0.542289,436,4,0,0,0,0,19,0,0,0,0,30,2,84,102,0,0,0,0,117,0,0,3,5,1,1
K20,loc:2060,locality,loc:2060,2060,ברוש,1,1,248,187,185,2,מחל,81,32,49,0.437838,32,5,0,0,0,0,10,0,0,0,0,18,2,81,1,0,0,0,0,12,1,0,1,6,0,16
K20,loc:2061,locality,loc:2061,2061,תדהר,1,1,294,228,228,0,מחל,91,44,47,0.399123,44,0,0,0,0,0,18,0,0,0,0,32,4,91,1,0,0,0,0,17,0,1,1,7,0,12
K20,loc:2062,locality,loc:2062,2062,תאשור,1,1,244,176,175,1,אמת,54,41,13,0.308571,54,1,1,0,0,0,7,0,0,0,0,17,7,41,11,0,0,0,0,24,0,0,6,1,0,5
K20,loc:2063,locality,loc:2063,2063,דישון,1,1,299,204,203,1,מחל,83,50,33,0.408867,34,0,0,0,0,0,10,0,0,0,0,50,0,83,1,0,0,0,0,7,0,0,3,1,1,13
K20,loc:2064,locality,loc:2064,2064,זרועה,1,1,223,173,171,2,מחל,110,14,96,0.643275,12,8,0,0,0,0,7,0,0,0,0,7,3,110,0,0,0,0,0,4,0,0,0,14,0,6
K20,loc:207,locality,loc:207,207,"גבעת ח""ן",1,1,299,252,249,3,אמת,161,27,134,0.646586,161,0,0,0,0,0,6,0,0,0,0,11,1,18,20,1,0,0,0,27,0,0,2,1,1,0
K20,loc:208,locality,loc:208,208,מוצא עילית,2,2,714,507,503,4,אמת,235,88,147,0.467197,235,1,4,0,0,0,20,0,0,0,0,33,7,50,88,0,0,0,0,59,0,0,3,0,1,2
K20,loc:21,locality,loc:21,21,באר אורה,1,1,271,228,226,2,אמת,89,46,43,0.393805,89,0,2,0,0,0,8,0,0,0,0,26,6,46,8,0,0,0,0,35,0,1,5,0,0,0
K20,loc:2100,locality,loc:2100,2100,טירת כרמל,26,26,16155,10735,10577,158,מחל,4826,1546,3280,0.456273,948,86,12,1,1,1,625,1,1,0,0,1546,530,4826,67,1,5,1,0,473,1,14,98,184,4,1151
K20,loc:213,locality,loc:213,213,משמרות,1,1,459,367,365,2,אמת,219,53,166,0.6,219,0,2,0,0,0,10,0,0,0,0,12,5,24,34,0,0,0,0,53,0,0,6,0,0,0
K20,loc:217,locality,loc:217,217,"כפר הרא""ה",2,2,709,600,599,1,טב,328,135,193,0.547579,24,3,0,0,0,0,328,0,0,0,0,21,1,135,8,0,0,0,0,26,0,0,2,42,0,9
K20,loc:218,locality,loc:218,218,גני עם,1,1,200,160,160,0,אמת,73,31,42,0.45625,73,0,1,0,0,0,4,0,0,0,0,11,0,16,17,0,0,0,0,31,0,0,4,2,0,1
K20,loc:219,locality,loc:219,219,חיבת ציון,1,1,406,348,344,4,אמת,133,50,83,0.386628,133,2,0,0,0,0,50,0,0,0,0,26,1,47,27,3,0,0,0,42,0,0,5,4,0,4
K20,loc:22,locality,loc:22,22,מקווה ישראל,1,1,156,108,108,0,אמת,43,18,25,0.398148,43,0,0,0,0,0,18,0,0,0,0,10,2,16,7,0,0,0,0,9,0,0,1,1,0,1
K20,loc:220,locality,loc:220,220,כפר ביאליק,1,1,417,318,317,1,אמת,148,50,98,0.466877,148,1,0,0,0,0,22,0,0,0,0,22,5,50,17,0,0,0,0,50,0,0,2,0,0,0
K20,loc:2200,locality,loc:2200,2200,דימונה,47,47,26988,16395,16111,284,מחל,6615,1992,4623,0.410589,1258,156,25,0,0,4,1084,5,0,0,2,1176,1577,6615,76,5,5,4,6,1419,2,16,198,474,12,1992
K20,loc:223,locality,loc:223,223,עין עירון,1,1,389,325,325,0,אמת,183,48,135,0.563077,183,1,0,0,0,1,7,0,0,0,0,26,0,13,48,1,0,0,0,35,0,0,9,0,0,1
K20,loc:224,locality,loc:224,224,שושנת העמקים,1,1,467,338,336,2,מחל,100,66,34,0.297619,66,2,0,0,0,0,19,1,0,0,0,59,1,100,9,0,0,0,0,36,0,0,13,6,1,23
K20,loc:225,locality,loc:225,225,גן השומרון,1,1,576,452,452,0,אמת,228,78,150,0.504425,228,0,1,0,0,0,11,0,0,0,0,47,5,33,41,0,0,0,0,78,0,0,7,0,0,1
K20,loc:229,locality,loc:229,229,גני תקווה,19,19,11599,9175,9116,59,אמת,2811,1879,932,0.308359,2811,236,11,0,0,5,540,0,1,0,0,708,131,1879,406,2,1,1,0,1445,0,1,84,220,5,629
K20,loc:23,locality,loc:23,23,אמציה,1,1,319,254,254,0,טב,144,36,108,0.566929,20,0,0,0,0,0,144,0,0,0,0,18,0,36,0,0,0,0,0,7,0,0,2,27,0,0
K20,loc:230,locality,loc:230,230,מעש,2,2,686,549,545,4,אמת,229,113,116,0.420183,229,2,1,0,0,0,25,0,0,0,0,28,9,113,39,0,0,0,0,83,0,0,10,3,0,3
K20,loc:2300,locality,loc:2300,2300,קריית טבעון,23,23,13176,9525,9467,58,אמת,4295,1296,2999,0.453681,4295,130,58,0,0,4,330,0,1,0,0,613,135,1296,1120,11,7,2,0,1234,3,3,103,73,7,42
K20,loc:232,locality,loc:232,232,שפיים,2,2,906,714,712,2,אמת,528,76,452,0.741573,528,2,3,0,0,0,4,0,0,0,0,14,2,17,76,0,0,0,0,46,0,0,19,1,0,0
K20,loc:233,locality,loc:233,233,כפר ידידיה,1,1,489,399,398,1,אמת,244,62,182,0.613065,244,0,1,0,0,0,8,0,0,0,0,19,2,24,31,0,0,0,0,62,0,0,7,0,0,0
K20,loc:234,locality,loc:234,234,ביצרון,2,2,811,670,666,4,אמת,383,102,281,0.575075,383,3,0,0,0,1,20,0,0,0,0,30,4,71,42,0,0,0,0,102,0,0,7,3,0,0
K20,loc:235,locality,loc:235,235,חבצלת השרון,1,1,344,225,219,6,אמת,97,33,64,0.442922,97,3,0,0,0,0,10,0,0,0,0,17,1,29,18,0,0,0,0,33,0,0,2,5,0,4
K20,loc:237,locality,loc:237,237,שער העמקים,1,1,554,437,436,1,אמת,241,149,92,0.552752,241,0,1,0,0,0,2,0,0,0,0,6,1,3,149,0,0,0,0,29,0,0,4,0,0,0
K20,loc:239,locality,loc:239,239,גן חיים,1,1,521,442,439,3,אמת,204,89,115,0.464692,204,1,1,0,0,1,16,0,0,0,0,28,8,30,52,0,0,0,0,89,1,0,7,1,0,0
K20,loc:24,locality,loc:24,24,לכיש,1,1,491,408,405,3,אמת,238,65,173,0.587654,238,0,1,0,0,0,11,0,0,0,0,8,1,18,65,0,0,0,0,55,0,0,7,0,0,1
K20,loc:240,locality,loc:240,240,יקנעם עילית,25,25,15429,11161,11034,127,מחל,3444,1921,1523,0.312126,1921,88,5,1,1,2,706,3,1,0,0,1390,1209,3444,188,6,2,2,1,1403,3,7,109,130,12,400
K20,loc:2400,locality,loc:2400,2400,אור יהודה,47,46,26366,18785,18520,265,מחל,7509,2682,4827,0.405454,2250,304,10,2,2,9,841,0,2,0,4,2084,622,7509,255,4,4,5,1,1370,3,4,144,401,8,2682
K20,loc:241,locality,loc:241,241,יקנעם (מושבה),2,2,980,761,757,4,אמת,419,125,294,0.553501,419,1,1,0,0,0,34,0,0,0,0,40,2,38,79,1,0,0,0,125,0,0,9,4,0,4
K20,loc:242,locality,loc:242,242,בית השיטה,2,2,1006,750,744,6,אמת,483,81,402,0.649194,483,1,1,0,0,0,30,0,0,0,0,28,6,44,46,0,1,0,0,81,0,1,13,6,2,1
K20,loc:246,locality,loc:246,246,נתיבות,31,31,19308,14763,14603,160,מחל,4310,3403,907,0.295145,295,1021,10,2,0,0,805,2,0,0,1,525,1068,4310,25,1,2,1,2,186,4,7,87,2836,10,3403
K20,loc:247,locality,loc:247,247,רשפון,2,2,894,682,680,2,אמת,356,118,238,0.523529,356,1,2,0,0,0,10,0,0,0,0,32,6,71,67,0,0,0,0,118,0,0,14,2,0,1
K20,loc:248,locality,loc:248,248,בית שערים,1,1,470,408,408,0,אמת,201,86,115,0.492647,201,0,0,0,0,0,26,0,0,0,0,15,5,48,25,0,0,0,0,86,0,0,1,0,1,0
K20,loc:249,locality,loc:249,249,כפר סירקין,2,2,847,674,671,3,אמת,335,125,210,0.499255,335,1,2,0,0,0,17,0,0,0,0,40,2,83,46,0,0,0,0,125,0,0,9,5,0,6
K20,loc:250,locality,loc:250,250,הזורע,2,2,838,588,586,2,אמת,340,143,197,0.580205,340,3,3,0,0,0,14,0,0,0,0,15,0,18,143,0,0,0,0,32,0,0,16,1,0,1
K20,loc:2500,locality,loc:2500,2500,נשר,32,32,19318,12999,12829,170,מחל,3955,2475,1480,0.308286,2475,95,110,2,1,1,570,0,1,0,0,1367,1569,3955,228,7,4,1,2,1671,2,7,205,76,14,466
K20,loc:252,locality,loc:252,252,ביתן אהרן,1,1,137,93,92,1,אמת,46,21,25,0.5,46,1,0,0,0,0,0,0,0,0,0,8,1,7,7,0,0,0,0,21,0,0,1,0,0,0
K20,loc:253,locality,loc:253,253,חולתה,1,1,389,297,296,1,אמת,190,27,163,0.641892,190,0,0,0,0,0,20,0,0,0,0,10,0,12,27,0,0,0,0,23,0,1,5,8,0,0
K20,loc:2530,locality,loc:2530,2530,באר יעקב,19,19,10833,8518,8440,78,מחל,2676,1754,922,0.317062,1754,97,12,0,0,2,459,0,1,0,1,1044,170,2676,141,3,0,0,0,1238,1,2,90,142,7,600
K20,loc:254,locality,loc:254,254,כפר המכבי,1,1,289,200,200,0,אמת,137,27,110,0.685,137,0,0,0,0,0,4,0,0,0,0,11,1,9,10,0,0,0,0,27,0,0,1,0,0,0
K20,loc:255,locality,loc:255,255,כפר חיטים,1,1,487,356,355,1,מחל,109,108,1,0.307042,108,1,0,0,0,0,12,0,0,0,0,50,4,109,12,0,0,0,0,51,0,0,6,0,0,2
K20,loc:2550,locality,loc:2550,2550,גדרה,25,25,15469,11879,11774,105,מחל,3574,2793,781,0.30355,2793,83,8,0,1,0,875,1,0,0,0,1225,306,3574,372,7,3,5,1,1607,1,8,122,430,7,345
K20,loc:256,locality,loc:256,256,ניר דוד (תל עמל),1,1,577,444,444,0,אמת,253,116,137,0.56982,253,0,0,0,0,0,4,0,0,0,0,2,1,8,116,0,0,0,0,40,0,0,20,0,0,0
K20,loc:2560,locality,loc:2560,2560,ערד,34,34,20805,12552,12297,255,מחל,2764,1871,893,0.22477,1871,1837,96,2,0,1,526,1,0,0,3,746,1829,2764,260,5,3,2,9,1605,9,8,283,292,16,129
K20,loc:257,locality,loc:257,257,נופך,1,1,338,263,263,0,מחל,90,52,38,0.342205,52,1,0,0,0,0,13,0,0,0,0,36,6,90,12,0,0,0,0,16,0,0,4,6,0,27
K20,loc:259,locality,loc:259,259,שדה נחום,1,1,362,269,267,2,אמת,125,53,72,0.468165,125,0,1,0,0,1,10,0,1,0,0,21,8,30,10,0,0,0,0,53,0,0,7,0,0,0
K20,loc:26,locality,loc:26,26,ראש פינה,3,3,2170,1620,1616,4,אמת,615,300,315,0.380569,615,6,7,0,0,0,103,0,0,0,0,107,23,300,181,0,1,0,2,176,0,1,30,45,3,16
K20,loc:2600,locality,loc:2600,2600,אילת,81,80,47042,23064,22829,235,מחל,8039,3881,4158,0.35214,3881,55,213,3,4,10,1452,7,3,0,1,2572,1276,8039,467,2,5,4,7,2471,5,17,787,498,25,1025
K20,loc:2610,locality,loc:2610,2610,בית שמש,82,80,50926,34382,33878,504,ג,9589,9051,538,0.283045,1111,9589,8,1,1,1,3053,0,0,0,0,1187,1321,9051,162,34,3,4,1,881,2,10,169,2421,8,4860
K20,loc:262,locality,loc:262,262,גינוסר,1,1,519,372,366,6,אמת,212,37,175,0.579235,212,0,1,0,0,0,13,0,0,0,0,17,4,37,24,0,0,0,0,37,0,1,16,3,0,1
K20,loc:2620,locality,loc:2620,2620,קריית אונו,43,43,26750,20608,20454,154,אמת,7208,4176,3032,0.352401,7208,103,32,0,0,5,1052,3,0,0,0,1797,446,4176,1223,9,4,1,2,3458,2,14,191,208,15,505
K20,loc:263,locality,loc:263,263,מסדה,1,1,265,184,184,0,אמת,117,17,100,0.63587,117,0,2,0,0,0,6,0,0,0,0,6,5,17,10,2,0,0,0,15,0,0,4,0,0,0
K20,loc:2630,locality,loc:2630,2630,קריית גת,68,68,39712,26860,26483,377,מחל,10307,3283,7024,0.389193,1890,1548,5,4,2,4,1350,6,3,0,1,1888,3283,10307,158,6,6,9,2,1647,5,21,231,1181,22,2904
K20,loc:264,locality,loc:264,264,שער הגולן,1,1,504,380,376,4,אמת,202,85,117,0.537234,202,0,3,0,0,0,4,0,0,0,0,11,8,16,85,0,0,0,0,42,0,0,5,0,0,0
K20,loc:2640,locality,loc:2640,2640,ראש העין,53,53,30473,23844,23684,160,מחל,8276,4526,3750,0.349434,4526,519,19,0,1,4,1628,0,0,0,0,2558,460,8276,576,12,2,3,1,2290,1,10,281,976,21,1520
K20,loc:265,locality,loc:265,265,בית יוסף,1,1,323,195,191,4,מחל,89,33,56,0.465969,17,1,0,0,0,0,14,0,0,0,0,25,1,89,1,0,0,0,0,4,0,1,0,5,0,33
K20,loc:2650,locality,loc:2650,2650,רמת השרון,61,61,35514,26747,26635,112,אמת,11767,4223,7544,0.441787,11767,650,57,0,1,5,740,1,0,0,0,1606,287,4223,2392,7,0,1,4,3902,1,15,216,249,13,498
K20,loc:2660,locality,loc:2660,2660,יבנה,50,49,29669,22091,21895,196,מחל,7563,3897,3666,0.345421,3897,171,7,2,2,2,1394,3,1,0,0,2415,674,7563,386,11,2,7,0,2454,1,12,257,1150,11,1473
K20,loc:267,locality,loc:267,267,כפר שמריהו,3,3,1762,1207,1198,9,אמת,636,194,442,0.530885,636,6,4,0,0,0,29,0,0,0,0,40,9,157,102,0,0,0,0,194,0,0,11,8,0,2
K20,loc:268,locality,loc:268,268,טירת צבי,1,1,523,417,415,2,טב,233,82,151,0.561446,30,2,0,0,0,0,233,0,0,0,0,15,2,82,5,0,0,0,0,34,0,0,4,8,0,0
K20,loc:269,locality,loc:269,269,מולדת,2,2,687,551,548,3,אמת,350,76,274,0.638686,350,1,0,0,0,0,15,0,0,0,0,25,3,35,31,0,0,0,0,76,0,0,8,1,0,3
K20,loc:27,locality,loc:27,27,שדות מיכה,1,1,267,196,195,1,מחל,80,53,27,0.410256,10,2,0,0,0,0,6,0,0,0,0,29,4,80,0,0,0,0,0,1,0,0,2,8,0,53
K20,loc:270,locality,loc:270,270,עין השופט,2,2,841,541,540,1,אמת,323,137,186,0.598148,323,0,0,0,0,0,5,0,0,0,0,11,14,13,137,0,0,0,0,18,1,0,13,1,1,3
K20,loc:2710,locality,loc:2710,2710,אום אל-פחם,52,52,30363,20471,20321,150,ודעם,19709,386,19323,0.969883,69,11,19709,3,1,3,5,2,1,0,12,12,6,21,386,2,1,5,38,17,2,3,4,2,2,4
K20,loc:272,locality,loc:272,272,מעוז חיים,1,1,444,287,286,1,אמת,208,22,186,0.727273,208,0,1,0,0,0,4,0,0,0,0,12,3,16,14,0,0,0,0,22,0,0,5,1,0,0
K20,loc:2720,locality,loc:2720,2720,טירה,23,23,16091,11682,11611,71,ודעם,11028,332,10696,0.949789,121,3,11028,0,2,2,7,0,1,0,1,14,2,19,332,0,0,2,42,16,0,4,6,1,4,4
K20,loc:273,locality,loc:273,273,עין גב,1,1,458,317,317,0,אמת,193,31,162,0.608833,193,0,3,0,0,0,8,0,0,0,0,18,5,20,31,0,0,0,0,31,0,0,6,2,0,0
K20,loc:2730,locality,loc:2730,2730,טייבה,37,37,24480,18103,17965,138,ודעם,17178,304,16874,0.956193,165,1,17178,1,2,1,14,3,2,0,22,10,10,48,304,2,1,3,103,18,2,3,14,6,0,52
