election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס
K23,loc:160,locality,loc:160,160,חולדה,1,1,657,536,535,1,פה,328,102,226,0.613084,102,1,1,0,0,0,13,0,0,0,0,0,0,0,0,9,79,0,0,0,1,0,328,0,0,0,0,0,0,1
K23,loc:162,locality,loc:162,162,חירות,2,2,926,751,751,0,פה,536,141,395,0.713715,141,0,5,0,0,0,15,0,0,0,0,0,0,0,0,18,34,0,0,0,0,0,536,0,0,1,0,0,0,1
K23,loc:163,locality,loc:163,163,תימורים,1,1,625,463,462,1,פה,310,72,238,0.670996,44,0,4,0,0,0,9,0,0,0,0,0,1,0,1,16,72,1,0,0,1,0,310,0,0,0,0,0,0,3
K23,loc:164,locality,loc:164,164,מלאה,1,1,276,234,232,2,מחל,163,29,134,0.702586,6,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,163,0,0,0,2,0,22,0,0,0,0,0,0,29
K23,loc:165,locality,loc:165,165,ניר יפה,1,1,423,326,325,1,מחל,150,124,26,0.461538,18,0,0,0,0,0,8,0,0,0,0,0,0,0,1,3,150,0,0,0,1,0,124,0,0,0,0,0,0,20
K23,loc:166,locality,loc:166,166,גן יבנה,26,26,16531,12372,12330,42,מחל,5601,4100,1501,0.454258,449,73,20,9,0,0,631,1,1,0,1,2,2,0,2,565,5601,9,1,1,37,1,4100,1,1,0,1,0,0,821
K23,loc:167,locality,loc:167,167,עין החורש,1,1,710,545,543,2,פה,293,224,69,0.539595,224,0,5,0,0,0,2,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,293,0,0,0,0,0,0,1
K23,loc:168,locality,loc:168,168,כפר יונה,27,27,16493,12146,12084,62,פה,4829,4820,9,0.399619,606,136,17,14,0,0,466,2,0,0,0,0,1,1,1,512,4820,10,1,0,36,0,4829,3,0,2,1,3,0,623
K23,loc:170,locality,loc:170,170,כפר יעבץ,1,1,474,379,376,3,מחל,227,48,179,0.603723,4,18,1,0,0,0,48,0,0,0,0,0,0,0,0,2,227,0,0,0,1,0,27,0,0,0,0,0,0,48
K23,loc:171,locality,loc:171,171,פרדסייה,8,8,5005,3783,3773,10,פה,2032,1072,960,0.538563,276,15,6,2,0,0,158,0,1,0,0,0,0,0,1,94,1072,1,0,0,12,0,2032,0,1,0,0,0,0,102
K23,loc:173,locality,loc:173,173,גבעת חיים (מאוחד),2,2,889,667,667,0,פה,361,216,145,0.541229,216,0,9,3,0,0,13,0,0,0,0,0,0,0,0,17,45,0,0,0,2,0,361,0,0,0,0,0,0,1
K23,loc:174,locality,loc:174,174,נטעים,1,1,561,428,427,1,פה,254,73,181,0.594848,65,5,5,0,0,0,13,0,0,0,0,0,0,0,0,9,73,0,0,0,0,0,254,0,0,0,0,0,0,3
K23,loc:175,locality,loc:175,175,אביחיל,2,2,983,734,733,1,פה,491,115,376,0.66985,82,2,7,0,0,0,15,0,0,0,0,0,0,0,0,13,115,0,0,0,1,0,491,0,0,0,0,0,0,7
K23,loc:176,locality,loc:176,176,אפיקים,2,2,1086,733,731,2,פה,433,213,220,0.592339,213,0,7,0,0,0,10,0,0,0,0,1,0,1,0,13,46,0,0,0,2,1,433,1,0,0,0,0,0,3
K23,loc:177,locality,loc:177,177,"כפר ביל""ו",2,2,872,690,690,0,פה,453,98,355,0.656522,94,8,2,1,0,0,12,0,0,0,0,0,0,0,0,12,98,0,0,0,0,0,453,0,0,0,0,0,0,10
K23,loc:178,locality,loc:178,178,רמת יוחנן,2,2,839,576,575,1,פה,367,132,235,0.638261,132,1,3,0,0,0,15,0,0,0,0,0,0,0,0,16,37,1,0,0,2,0,367,1,0,0,0,0,0,0
K23,loc:18,locality,loc:18,18,שדה משה,1,1,395,288,288,0,פה,169,92,77,0.586806,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,92,1,0,0,0,0,169,0,0,0,0,0,0,2
K23,loc:182,locality,loc:182,182,אבן יהודה,16,16,9935,7569,7542,27,פה,4298,1862,2436,0.569875,725,51,28,9,0,0,202,0,1,1,0,0,0,0,2,190,1862,2,0,1,19,0,4298,1,0,1,0,0,0,149
K23,loc:183,locality,loc:183,183,ירקונה,1,1,308,225,225,0,פה,166,29,137,0.737778,23,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,166,0,0,0,0,0,0,2
K23,loc:184,locality,loc:184,184,רמת הכובש,1,1,669,532,532,0,פה,322,158,164,0.605263,158,0,5,0,0,0,6,0,0,0,0,0,0,0,0,9,28,2,0,0,0,0,322,0,0,0,0,0,0,2
K23,loc:186,locality,loc:186,186,נעורים,1,1,174,73,73,0,פה,39,16,23,0.534247,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,39,0,0,0,0,0,0,1
K23,loc:187,locality,loc:187,187,כפר הס,2,2,1052,801,801,0,פה,563,147,416,0.702871,147,0,10,0,0,0,8,0,0,0,0,0,0,0,0,10,60,1,0,0,1,0,563,0,0,0,0,1,0,0
K23,loc:188,locality,loc:188,188,אשדות יעקב (מאוחד),1,1,520,362,362,0,פה,191,73,118,0.527624,73,0,0,0,0,0,20,0,0,0,0,0,0,0,0,17,58,0,0,0,0,0,191,0,0,0,0,0,1,2
K23,loc:189,locality,loc:189,189,כפר פינס,1,1,381,315,313,2,טב,193,72,121,0.616613,1,8,0,0,0,0,193,0,0,0,0,0,0,0,0,1,72,0,0,0,7,0,26,0,0,0,0,1,0,4
K23,loc:190,locality,loc:190,190,כפר ויתקין,2,2,1399,1064,1060,4,פה,756,206,550,0.713208,206,3,7,0,0,0,15,0,0,0,0,0,0,0,0,18,52,1,0,0,1,0,756,0,0,0,0,0,0,1
K23,loc:191,locality,loc:191,191,הדר עם,1,1,516,413,412,1,פה,279,60,219,0.677184,60,0,6,0,0,0,4,0,0,0,0,0,0,0,0,13,45,0,0,0,4,0,279,0,0,0,0,0,0,1
K23,loc:192,locality,loc:192,192,כפר החורש,1,1,476,353,351,2,פה,201,87,114,0.57265,87,1,3,0,0,0,8,0,0,0,0,0,0,0,0,17,34,0,0,0,0,0,201,0,0,0,0,0,0,0
K23,loc:193,locality,loc:193,193,כפר חיים,1,1,430,347,346,1,פה,255,51,204,0.736994,51,1,2,0,0,0,3,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,255,0,0,0,0,0,0,1
K23,loc:194,locality,loc:194,194,משמר השרון,1,1,515,349,349,0,פה,221,96,125,0.633238,96,1,3,0,0,0,4,0,0,0,0,0,0,0,0,4,18,0,0,0,1,0,221,0,0,0,0,0,0,1
K23,loc:195,locality,loc:195,195,קדימה-צורן,24,24,15526,11719,11691,28,פה,6146,3015,3131,0.525704,914,43,29,7,0,0,368,0,0,0,0,0,1,0,0,488,3015,9,4,0,38,0,6146,2,1,0,0,1,2,623
K23,loc:196,locality,loc:196,196,גיבתון,1,1,265,217,216,1,פה,126,41,85,0.583333,41,2,0,2,0,0,4,0,0,0,0,0,0,0,0,6,33,0,0,0,0,0,126,0,1,0,0,0,0,1
K23,loc:197,locality,loc:197,197,מעברות,2,2,744,564,564,0,פה,278,249,29,0.492908,249,2,6,0,0,0,5,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,278,0,0,0,0,0,0,1
K23,loc:198,locality,loc:198,198,צופית,2,2,799,597,597,0,פה,400,115,285,0.670017,115,2,7,0,0,0,9,0,0,0,0,0,0,0,0,9,53,1,0,0,0,0,400,0,0,0,0,0,0,1
K23,loc:199,locality,loc:199,199,אשדות יעקב (איחוד),1,1,658,471,471,0,פה,291,86,205,0.617834,86,0,1,0,0,0,19,0,0,0,0,0,0,0,0,13,55,0,2,1,1,0,291,1,0,0,0,0,0,1
K23,loc:200,locality,loc:200,200,בית ינאי,1,1,297,192,192,0,פה,138,31,107,0.71875,31,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,138,0,0,0,0,0,0,0
K23,loc:2002,locality,loc:2002,2002,תנובות,1,1,601,432,432,0,מחל,194,158,36,0.449074,28,3,0,0,0,0,16,0,0,0,0,0,0,0,0,2,194,0,0,0,2,0,158,0,0,0,1,0,0,28
K23,loc:2003,locality,loc:2003,2003,תלמי אלעזר,1,1,664,519,518,1,פה,298,111,187,0.57529,65,2,4,1,0,0,20,0,0,0,0,0,0,0,0,12,111,0,0,0,2,0,298,0,0,1,0,0,0,2
K23,loc:2008,locality,loc:2008,2008,שדה יצחק,1,1,403,280,278,2,פה,153,80,73,0.55036,23,0,5,0,0,0,2,0,0,0,0,0,0,0,0,7,80,0,0,0,4,0,153,0,0,0,0,0,0,4
K23,loc:2009,locality,loc:2009,2009,יובל,1,1,436,315,315,0,פה,126,109,17,0.4,36,0,0,1,0,0,21,0,0,0,0,0,0,0,0,1,109,0,0,0,2,1,126,0,0,0,0,0,0,18
K23,loc:2010,locality,loc:2010,2010,כפר בן נון,1,1,539,415,414,1,פה,207,94,113,0.5,82,0,1,3,0,0,9,0,0,0,0,0,0,0,0,13,94,2,0,0,0,0,207,0,0,0,0,0,0,3
K23,loc:2011,locality,loc:2011,2011,ינון,2,2,904,716,712,4,מחל,422,109,313,0.592697,20,13,61,0,0,0,24,0,0,0,0,0,0,0,0,4,422,0,0,0,10,0,109,0,1,1,0,0,0,47
K23,loc:2012,locality,loc:2012,2012,אורות,1,1,437,319,317,2,פה,212,44,168,0.66877,44,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,43,0,0,0,0,0,212,0,0,0,0,0,0,4
K23,loc:2013,locality,loc:2013,2013,בן שמן (מושב),1,1,591,466,465,1,פה,254,116,138,0.546237,61,2,1,1,0,0,12,0,0,0,0,0,0,0,0,8,116,0,0,0,1,0,254,0,1,1,0,0,0,7
K23,loc:2014,locality,loc:2014,2014,גבעולים,1,1,296,249,248,1,מחל,190,25,165,0.766129,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,190,0,0,0,3,0,15,0,0,1,0,0,0,25
K23,loc:2015,locality,loc:2015,2015,שדי חמד,1,1,724,559,555,4,פה,353,89,264,0.636036,75,6,2,0,0,0,13,0,0,0,0,0,0,0,0,16,89,0,0,0,0,0,353,0,0,0,0,0,0,1
K23,loc:2016,locality,loc:2016,2016,רוויה,1,1,255,181,181,0,מחל,136,30,106,0.751381,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,136,0,0,0,1,0,7,0,0,0,0,0,0,30
K23,loc:2018,locality,loc:2018,2018,גבעת חיים (איחוד),2,2,972,732,731,1,פה,486,208,278,0.664843,208,1,6,1,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,3,0,486,0,0,0,0,0,0,0
K23,loc:202,locality,loc:202,202,בית עובד,1,1,250,187,187,0,פה,131,30,101,0.700535,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,131,0,0,0,0,0,0,0
K23,loc:2021,locality,loc:2021,2021,אשל הנשיא,1,1,114,73,73,0,פה,27,26,1,0.369863,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,27,0,0,0,0,0,0,0
K23,loc:2023,locality,loc:2023,2023,להב,1,1,494,338,335,3,פה,192,119,73,0.573134,119,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,192,0,0,0,0,0,0,0
K23,loc:2024,locality,loc:2024,2024,אום אל-קוטוף,1,1,717,580,579,1,ודעם,558,10,548,0.963731,10,0,558,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0
K23,loc:2026,locality,loc:2026,2026,ירדנה,1,1,285,213,213,0,מחל,134,39,95,0.629108,10,0,0,2,0,0,11,0,0,0,0,0,0,0,0,3,134,0,0,0,0,0,39,0,0,0,0,0,0,14
K23,loc:2029,locality,loc:2029,2029,מדרך עוז,1,1,561,412,411,1,מחל,227,102,125,0.552311,15,10,0,0,0,0,17,0,0,0,0,0,0,0,0,11,227,2,0,0,1,0,102,0,0,0,1,0,0,25
K23,loc:2030,locality,loc:2030,2030,מנוחה,1,1,427,342,342,0,מחל,233,43,190,0.681287,5,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,233,0,0,0,7,0,29,0,0,0,0,0,0,43
K23,loc:2033,locality,loc:2033,2033,בית חלקיה,1,1,455,378,376,2,ג,349,9,340,0.928191,1,349,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,8
K23,loc:2034,locality,loc:2034,2034,חצור הגלילית,12,12,7107,5035,5015,20,מחל,2637,763,1874,0.525823,67,763,4,4,0,0,226,0,0,0,0,1,0,1,0,253,2637,2,0,0,28,0,337,0,0,0,0,0,1,691
K23,loc:2035,locality,loc:2035,2035,עדנים,1,1,295,235,235,0,פה,155,48,107,0.659574,21,0,3,0,0,0,2,0,0,0,0,0,0,0,0,4,48,0,0,0,1,0,155,0,0,0,0,0,0,1
K23,loc:2038,locality,loc:2038,2038,ברקת,2,2,1124,923,923,0,מחל,551,178,373,0.596966,1,78,0,0,0,0,65,0,0,0,0,0,0,0,0,1,551,1,0,0,30,0,18,0,0,0,0,0,0,178
K23,loc:204,locality,loc:204,204,אלישיב,1,1,469,350,350,0,מחל,191,87,104,0.545714,12,2,0,0,0,0,26,0,0,0,0,0,0,0,1,1,191,0,0,0,3,0,87,0,0,0,0,0,0,27
K23,loc:2042,locality,loc:2042,2042,עין גדי,1,1,482,316,313,3,פה,173,87,86,0.552716,87,0,5,3,0,0,6,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,173,0,0,0,0,0,0,2
K23,loc:2043,locality,loc:2043,2043,בחן,1,1,591,461,461,0,פה,315,85,230,0.683297,85,0,4,0,0,0,7,0,0,0,0,0,0,0,0,12,37,0,0,0,0,0,315,0,0,0,0,0,0,1
K23,loc:2044,locality,loc:2044,2044,מלילות,1,1,275,219,219,0,מחל,152,28,124,0.694064,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,4,152,0,0,0,5,0,9,0,0,0,0,0,0,28
K23,loc:2045,locality,loc:2045,2045,נחלה,1,1,474,389,385,4,מחל,181,78,103,0.47013,13,9,2,0,0,0,30,0,0,0,0,0,0,0,0,4,181,0,0,0,1,0,78,0,0,0,0,0,0,67
K23,loc:2046,locality,loc:2046,2046,סגולה,1,1,425,327,327,0,פה,184,89,95,0.562691,37,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,89,0,0,0,0,0,184,0,0,0,0,0,0,5
K23,loc:2047,locality,loc:2047,2047,ניר משה,1,1,417,292,290,2,פה,126,84,42,0.434483,49,2,0,1,0,0,13,0,0,0,0,0,0,0,0,6,84,0,0,0,0,0,126,0,0,0,0,0,0,9
K23,loc:2048,locality,loc:2048,2048,ניר עקיבא,1,1,494,383,383,0,מחל,108,108,0,0.281984,26,27,0,0,0,0,62,0,1,0,0,0,0,0,0,5,108,0,0,0,3,0,108,0,0,0,0,0,0,43
K23,loc:2049,locality,loc:2049,2049,שדה צבי,1,1,425,336,335,1,מחל,164,79,85,0.489552,25,3,3,0,0,0,17,0,0,0,1,0,0,0,0,3,164,0,0,0,0,0,79,0,0,0,0,0,0,40
K23,loc:205,locality,loc:205,205,חגלה,1,1,503,398,398,0,פה,260,82,178,0.653266,82,0,3,0,0,0,6,0,0,0,0,0,0,0,0,6,40,0,0,0,0,0,260,0,0,0,0,0,0,1
K23,loc:2050,locality,loc:2050,2050,"תלמי ביל""ו",1,1,357,278,278,0,מחל,186,37,149,0.669065,15,3,0,1,0,0,11,0,0,0,0,0,0,0,1,6,186,1,0,0,2,0,37,0,0,0,0,0,0,15
K23,loc:2051,locality,loc:2051,2051,רווחה,1,1,419,350,348,2,מחל,235,71,164,0.675287,2,5,0,0,0,0,17,0,0,0,0,0,0,0,0,1,235,0,0,0,3,0,14,0,0,0,0,0,0,71
K23,loc:2052,locality,loc:2052,2052,אביטל,1,1,417,330,330,0,מחל,240,29,211,0.727273,4,10,0,0,0,0,15,0,0,0,0,0,0,0,1,4,240,0,0,0,4,0,29,0,0,0,0,0,0,23
K23,loc:2053,locality,loc:2053,2053,פרזון,1,1,290,216,215,1,מחל,138,30,108,0.64186,11,3,0,0,0,0,15,0,0,0,0,0,0,0,0,1,138,1,0,0,5,0,30,0,0,0,0,0,1,10
K23,loc:2054,locality,loc:2054,2054,מיטב,1,1,373,289,288,1,מחל,195,41,154,0.677083,3,1,0,0,0,0,30,0,0,0,0,0,0,0,0,3,195,0,0,0,1,0,41,0,1,0,0,0,0,13
K23,loc:2055,locality,loc:2055,2055,מאור,2,2,918,711,709,2,פה,322,216,106,0.454161,78,3,2,0,0,0,45,0,0,0,0,0,0,0,0,8,216,2,0,0,3,0,322,0,0,0,0,0,0,30
K23,loc:2057,locality,loc:2057,2057,שדי תרומות,1,1,369,267,267,0,מחל,233,16,217,0.872659,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,233,0,0,0,1,0,7,0,0,0,0,0,0,16
K23,loc:2059,locality,loc:2059,2059,"פעמי תש""ז",1,1,384,304,304,0,מחל,146,78,68,0.480263,6,4,0,1,0,0,15,0,0,0,0,0,0,0,0,4,146,0,0,0,2,0,48,0,0,0,0,0,0,78
K23,loc:206,locality,loc:206,206,רמות השבים,2,2,1169,890,889,1,פה,614,119,495,0.690664,119,7,5,1,0,0,25,0,0,0,0,0,0,0,0,20,94,0,0,0,1,0,614,0,0,0,0,0,0,3
K23,loc:2060,locality,loc:2060,2060,ברוש,1,1,342,272,272,0,מחל,159,39,120,0.584559,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,9,159,1,0,0,1,0,39,0,0,0,0,0,0,26
K23,loc:2061,locality,loc:2061,2061,תדהר,1,1,409,302,302,0,מחל,172,60,112,0.569536,24,0,1,0,0,0,20,0,0,0,0,0,0,0,0,5,172,0,0,0,2,0,60,0,0,0,0,0,0,18
K23,loc:2062,locality,loc:2062,2062,תאשור,1,1,292,192,191,1,פה,67,63,4,0.350785,34,1,1,0,0,0,12,0,0,0,0,0,0,0,0,3,63,0,0,0,1,0,67,0,0,0,0,0,0,9
K23,loc:2063,locality,loc:2063,2063,דישון,1,1,296,198,197,1,מחל,104,39,65,0.527919,7,1,0,0,0,0,14,0,0,0,0,0,0,0,0,6,104,4,0,0,4,0,39,0,0,0,0,0,0,18
K23,loc:2064,locality,loc:2064,2064,זרועה,1,1,305,229,229,0,מחל,151,35,116,0.659389,3,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,151,0,0,0,4,0,20,0,0,0,0,0,0,35
K23,loc:207,locality,loc:207,207,"גבעת ח""ן",1,1,301,249,248,1,פה,168,40,128,0.677419,40,0,4,0,0,0,5,0,0,0,0,0,0,0,0,6,25,0,0,0,0,0,168,0,0,0,0,0,0,0
K23,loc:208,locality,loc:208,208,מוצא עילית,2,2,907,662,661,1,פה,370,134,236,0.559758,134,1,10,0,0,0,12,0,0,0,0,0,0,0,0,15,110,1,0,0,1,0,370,0,0,0,0,0,0,7
K23,loc:21,locality,loc:21,21,באר אורה,1,1,593,446,445,1,פה,197,139,58,0.442697,34,2,6,0,0,0,12,0,0,0,0,0,0,0,0,38,139,0,1,0,0,0,197,0,0,0,0,0,0,16
K23,loc:2100,locality,loc:2100,2100,טירת כרמל,31,31,18822,12494,12426,68,מחל,7409,2059,5350,0.59625,275,78,18,15,0,0,370,0,0,3,1,0,1,0,2,700,7409,5,6,3,62,1,2059,4,2,5,2,1,14,1390
K23,loc:212,locality,loc:212,212,בית צבי,1,1,68,33,33,0,ג,20,7,13,0.606061,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,4
K23,loc:213,locality,loc:213,213,משמרות,1,1,605,494,494,0,פה,337,98,239,0.682186,98,0,2,1,0,0,11,0,0,0,0,0,0,0,0,9,35,0,0,0,0,0,337,0,0,0,0,0,0,1
K23,loc:217,locality,loc:217,217,"כפר הרא""ה",2,2,741,580,578,2,טב,315,157,158,0.544983,16,9,1,0,0,0,315,0,0,0,0,0,0,0,0,1,157,1,0,0,7,0,57,0,0,0,0,0,0,14
K23,loc:218,locality,loc:218,218,גני עם,1,1,212,167,167,0,פה,98,32,66,0.586826,32,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,98,0,0,0,0,0,0,0
K23,loc:219,locality,loc:219,219,חיבת ציון,1,1,449,359,359,0,פה,204,49,155,0.568245,44,7,1,1,0,0,49,0,0,0,0,0,0,0,0,4,43,1,0,0,2,0,204,0,0,0,0,0,0,3
K23,loc:22,locality,loc:22,22,מקווה ישראל,1,1,151,104,104,0,פה,54,30,24,0.519231,10,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,54,0,0,0,0,0,0,1
K23,loc:220,locality,loc:220,220,כפר ביאליק,1,1,465,343,336,7,פה,207,82,125,0.616071,23,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,82,1,0,0,1,0,207,0,0,0,0,0,0,3
K23,loc:2200,locality,loc:2200,2200,דימונה,48,48,28012,17396,17245,151,מחל,10722,2004,8718,0.621745,333,156,47,3,3,0,582,3,0,1,2,1,0,1,3,1279,10722,12,1,2,80,1,1997,2,1,5,0,4,0,2004
K23,loc:223,locality,loc:223,223,עין עירון,1,1,398,320,319,1,פה,226,57,169,0.708464,57,2,3,0,0,0,2,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,226,0,0,0,0,0,0,0
K23,loc:224,locality,loc:224,224,שושנת העמקים,1,1,449,319,317,2,מחל,126,109,17,0.397476,24,2,1,0,0,0,6,0,0,0,0,0,0,0,0,7,126,0,0,0,0,0,109,0,0,0,0,0,0,42
K23,loc:225,locality,loc:225,225,גן השומרון,1,1,629,488,486,2,פה,317,82,235,0.652263,82,0,4,1,0,0,16,0,0,0,0,0,0,0,0,9,56,0,0,0,0,0,317,0,0,0,0,0,0,1
K23,loc:229,locality,loc:229,229,גני תקווה,23,23,14737,11497,11460,37,פה,5758,2881,2877,0.502443,777,252,31,8,0,0,476,0,0,0,0,0,1,0,2,315,2881,11,1,0,23,0,5758,1,1,2,1,1,0,918
K23,loc:23,locality,loc:23,23,אמציה,1,1,185,133,133,0,טב,49,44,5,0.368421,4,3,0,0,0,0,49,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,30,0,0,0,0,0,0,3
K23,loc:230,locality,loc:230,230,מעש,1,1,686,532,531,1,פה,322,116,206,0.606403,43,3,1,2,0,0,21,0,0,0,0,0,0,0,0,13,116,0,0,0,2,0,322,0,0,0,0,0,0,8
K23,loc:2300,locality,loc:2300,2300,קריית טבעון,23,23,13692,9469,9455,14,פה,5129,1760,3369,0.542464,1760,122,151,19,0,0,217,0,2,0,0,0,2,1,1,235,1684,29,0,1,17,0,5129,5,1,2,0,0,3,74
K23,loc:232,locality,loc:232,232,שפיים,2,2,990,757,756,1,פה,485,213,272,0.641534,213,1,9,0,0,0,4,0,0,0,0,0,0,0,1,10,32,0,0,0,1,0,485,0,0,0,0,0,0,0
K23,loc:233,locality,loc:233,233,כפר ידידיה,1,1,487,398,398,0,פה,291,61,230,0.731156,61,0,2,1,0,0,5,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0,291,1,0,0,0,0,0,0
K23,loc:234,locality,loc:234,234,ביצרון,2,2,889,715,711,4,פה,494,107,387,0.694796,74,4,2,0,0,0,14,0,0,0,0,0,0,0,0,12,107,0,0,0,2,0,494,0,0,0,0,0,0,2
K23,loc:235,locality,loc:235,235,חבצלת השרון,1,1,344,224,224,0,פה,124,47,77,0.553571,24,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,47,0,0,0,1,0,124,0,0,0,0,0,0,17
K23,loc:237,locality,loc:237,237,שער העמקים,1,1,554,439,437,2,פה,235,183,52,0.537757,183,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,1,0,235,0,0,0,0,0,0,1
K23,loc:239,locality,loc:239,239,גן חיים,1,1,533,422,422,0,פה,299,54,245,0.708531,54,1,3,0,0,0,4,0,0,0,0,0,0,0,0,18,41,0,0,0,1,0,299,0,0,0,0,0,0,1
K23,loc:24,locality,loc:24,24,לכיש,1,1,579,462,462,0,פה,295,111,184,0.638528,111,0,1,1,0,0,16,0,0,0,0,0,0,0,0,5,32,0,0,0,0,0,295,0,0,0,0,0,1,0
K23,loc:240,locality,loc:240,240,יקנעם עילית,29,29,18074,12545,12475,70,מחל,5176,3940,1236,0.41491,636,151,27,14,0,0,471,0,2,1,1,0,0,0,4,1465,5176,15,1,2,48,0,3940,8,2,3,0,2,5,501
K23,loc:2400,locality,loc:2400,2400,אור יהודה,47,47,26945,18883,18734,149,מחל,10274,3456,6818,0.548415,558,196,16,3,0,0,506,1,2,2,0,2,0,3,2,357,10274,12,3,1,98,0,3228,1,4,1,1,4,3,3456
K23,loc:241,locality,loc:241,241,יקנעם (מושבה),2,2,1008,735,733,2,פה,495,126,369,0.675307,126,0,0,1,0,0,22,0,0,0,0,0,1,0,0,16,66,1,0,0,2,0,495,0,0,0,0,0,0,3
K23,loc:242,locality,loc:242,242,בית השיטה,2,2,1045,761,756,5,פה,508,146,362,0.671958,146,2,1,0,0,0,22,0,0,0,0,0,0,0,0,11,62,0,0,0,1,0,508,0,0,0,0,1,0,2
K23,loc:246,locality,loc:246,246,נתיבות,38,38,23763,18143,18055,88,שס,7182,6596,586,0.397785,126,1447,6,5,0,0,866,0,0,0,0,0,0,1,3,1035,6596,11,1,3,144,2,614,0,4,1,4,0,4,7182
K23,loc:247,locality,loc:247,247,רשפון,2,2,878,683,678,5,פה,461,96,365,0.679941,96,0,4,2,0,0,9,0,0,0,0,0,0,0,0,9,92,1,0,0,0,0,461,1,1,0,0,0,0,2
K23,loc:248,locality,loc:248,248,בית שערים,1,1,487,397,396,1,פה,270,57,213,0.681818,50,1,3,0,0,0,8,0,0,0,0,0,0,0,0,4,57,1,0,0,1,0,270,0,0,0,0,0,0,1
K23,loc:249,locality,loc:249,249,כפר סירקין,2,2,972,777,777,0,פה,529,111,418,0.680824,81,0,5,0,0,0,24,0,0,0,0,0,0,0,0,22,111,0,0,0,0,0,529,0,0,0,0,0,0,5
K23,loc:250,locality,loc:250,250,הזורע,2,2,906,611,610,1,פה,325,241,84,0.532787,241,0,4,0,0,0,10,0,0,0,0,0,0,0,0,8,15,0,1,0,1,0,325,0,0,0,0,0,1,4
K23,loc:2500,locality,loc:2500,2500,נשר,35,35,19794,12661,12579,82,מחל,4952,4034,918,0.393672,499,82,66,13,0,0,274,0,1,0,0,2,0,1,2,2035,4952,7,1,0,26,0,4034,2,3,2,0,1,4,572
K23,loc:252,locality,loc:252,252,ביתן אהרן,1,1,213,77,77,0,פה,50,14,36,0.649351,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,50,0,0,0,0,0,0,1
K23,loc:253,locality,loc:253,253,חולתה,1,1,458,335,334,1,פה,188,90,98,0.562874,90,3,1,0,0,0,16,0,0,0,0,0,0,0,0,5,26,1,0,0,4,0,188,0,0,0,0,0,0,0
K23,loc:2530,locality,loc:2530,2530,באר יעקב,27,27,16522,12689,12635,54,מחל,5490,4489,1001,0.434507,453,191,15,10,0,0,393,0,0,0,0,0,0,1,4,515,5490,5,2,1,48,1,4489,0,1,1,2,3,3,1007
