election,geography_id,geography_type,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
K19,loc:168,locality,loc:168,168,כפר יונה,21,21,12961,9321,9257,64,פה,2334,2311,23,0.252134,1356,27,2,0,8,1,11,100,0,12,703,16,216,2311,303,1,2,125,2,3,0,2334,71,1,0,12,3,159,574,6,16,118,19,745
K19,loc:170,locality,loc:170,170,כפר יעבץ,1,1,439,345,338,7,טב,130,94,36,0.384615,9,10,0,0,0,0,0,2,0,0,130,0,4,94,3,1,0,3,0,0,0,9,17,0,0,0,0,5,2,0,0,7,2,40
K19,loc:171,locality,loc:171,171,פרדסייה,7,7,4689,3545,3530,15,פה,1074,693,381,0.304249,693,8,0,1,3,0,7,40,0,8,220,1,99,649,163,1,0,32,0,0,1,1074,44,2,0,7,0,57,265,0,0,35,13,107
K19,loc:173,locality,loc:173,173,גבעת חיים (מאוחד),2,2,872,676,675,1,אמת,303,133,170,0.448889,303,2,0,0,1,0,5,10,0,1,8,1,26,28,133,0,0,2,0,0,0,95,1,0,0,0,0,8,39,0,0,6,2,4
K19,loc:174,locality,loc:174,174,נטעים,1,1,466,376,373,3,פה,101,79,22,0.270777,79,0,0,0,0,0,1,12,0,0,20,0,12,61,36,0,0,2,0,0,0,101,0,0,0,0,0,5,35,0,0,4,3,2
K19,loc:175,locality,loc:175,175,אביחיל,2,2,952,725,718,7,פה,192,157,35,0.267409,157,0,0,0,1,0,2,19,0,0,35,0,44,71,79,0,0,1,0,0,0,192,0,0,0,1,0,9,91,0,0,9,4,3
K19,loc:176,locality,loc:176,176,אפיקים,2,2,1027,701,699,2,אמת,411,90,321,0.587983,411,0,0,1,2,0,4,9,0,0,19,1,14,27,64,2,0,2,0,0,0,90,0,0,0,0,1,6,33,0,1,10,1,1
K19,loc:177,locality,loc:177,177,"כפר ביל""ו",2,2,813,633,630,3,אמת,177,168,9,0.280952,177,2,0,0,1,0,2,16,0,2,17,0,18,65,69,0,0,10,0,0,0,168,3,0,0,1,0,8,66,0,0,3,0,2
K19,loc:178,locality,loc:178,178,רמת יוחנן,2,2,753,529,527,2,אמת,239,78,161,0.45351,239,1,0,0,0,0,0,13,0,0,22,0,13,33,55,0,0,3,0,0,0,78,0,0,0,0,0,5,56,0,0,7,1,1
K19,loc:18,locality,loc:18,18,שדה משה,1,1,380,291,291,0,פה,74,68,6,0.254296,68,0,0,0,0,0,0,10,0,1,16,0,7,56,9,0,0,3,0,0,0,74,0,0,0,0,0,5,25,0,1,5,1,10
K19,loc:182,locality,loc:182,182,אבן יהודה,15,15,8848,6798,6760,38,פה,1987,1259,728,0.293935,1259,40,1,0,2,0,14,100,0,9,421,2,152,1244,549,0,1,45,1,1,2,1987,55,2,0,3,0,95,535,1,3,76,12,148
K19,loc:183,locality,loc:183,183,ירקונה,1,1,280,214,214,0,אמת,55,55,0,0.257009,55,0,0,0,0,0,0,3,0,0,5,0,1,34,23,0,0,0,0,0,0,55,0,0,0,0,0,2,32,0,2,1,0,1
K19,loc:184,locality,loc:184,184,רמת הכובש,2,2,602,454,452,2,אמת,156,92,64,0.345133,156,0,0,0,0,0,2,15,0,0,7,0,30,17,83,0,0,0,0,0,0,92,0,0,0,0,0,8,37,0,0,4,0,1
K19,loc:186,locality,loc:186,186,נעורים,1,1,159,75,74,1,מחל,16,14,2,0.216216,14,1,0,0,0,0,0,2,0,0,2,0,3,16,7,0,0,1,0,0,12,0,0,0,0,0,0,4,5,0,0,4,0,3
K19,loc:187,locality,loc:187,187,כפר הס,2,2,909,715,713,2,פה,234,191,43,0.328191,191,0,0,0,0,0,4,6,0,2,16,0,9,49,105,0,0,0,0,0,0,234,0,0,0,0,0,6,76,0,3,6,2,4
K19,loc:188,locality,loc:188,188,אשדות יעקב (מאוחד),1,1,413,285,282,3,אמת,133,70,63,0.471631,133,0,0,0,0,0,0,4,0,0,16,3,5,15,8,0,0,1,0,0,0,70,0,0,0,0,0,3,18,0,0,2,2,2
K19,loc:189,locality,loc:189,189,כפר פינס,1,1,339,293,291,2,טב,203,31,172,0.697595,5,2,0,0,0,0,0,0,0,0,203,0,1,31,0,1,0,23,0,0,0,11,0,0,0,0,4,7,0,0,0,0,0,3
K19,loc:190,locality,loc:190,190,כפר ויתקין,2,2,1330,1065,1061,4,אמת,341,289,52,0.321395,341,0,0,0,0,0,4,38,0,1,34,0,21,51,143,0,0,0,0,0,0,289,0,0,0,0,0,12,108,0,1,10,3,5
K19,loc:191,locality,loc:191,191,הדר עם,1,1,426,356,355,1,פה,125,75,50,0.352113,75,1,1,0,0,0,0,5,0,0,9,0,9,33,58,0,1,2,0,0,0,125,0,0,0,0,0,2,31,0,0,0,1,2
K19,loc:192,locality,loc:192,192,כפר החורש,1,1,425,323,323,0,אמת,151,49,102,0.467492,151,1,0,0,0,0,3,11,0,0,8,0,12,14,44,0,0,0,0,0,1,49,0,0,0,0,1,3,20,0,0,3,0,2
K19,loc:193,locality,loc:193,193,כפר חיים,1,1,417,337,333,4,פה,108,101,7,0.324324,101,2,0,0,0,0,2,7,0,1,8,0,7,22,35,0,0,2,0,0,0,108,0,0,0,0,0,5,31,0,0,1,0,1
K19,loc:194,locality,loc:194,194,משמר השרון,1,1,483,327,327,0,אמת,165,41,124,0.504587,165,1,0,0,0,0,2,10,0,0,2,0,8,21,41,0,0,1,0,0,0,41,0,0,0,0,1,2,27,0,1,3,0,1
K19,loc:195,locality,loc:195,195,קדימה-צורן,19,19,11883,8845,8791,54,פה,2455,1785,670,0.279263,1522,35,0,1,8,0,9,106,0,10,547,19,207,1785,429,1,1,73,0,2,2,2455,42,2,0,6,2,117,682,1,3,101,30,593
K19,loc:196,locality,loc:196,196,גיבתון,1,1,228,188,187,1,אמת,70,37,33,0.374332,70,1,0,0,0,0,0,3,0,0,11,4,4,15,21,0,0,0,0,0,0,37,0,0,0,0,0,0,18,0,0,2,1,0
K19,loc:197,locality,loc:197,197,מעברות,2,2,735,567,566,1,מרץ,237,147,90,0.418728,147,1,0,0,0,0,4,29,0,0,2,0,5,15,237,0,0,4,0,0,0,93,0,0,0,0,0,1,24,0,1,1,1,1
K19,loc:198,locality,loc:198,198,צופית,2,2,749,589,589,0,פה,172,143,29,0.29202,143,0,0,0,0,0,1,12,0,0,27,0,19,67,85,0,0,2,0,0,0,172,2,1,0,0,2,3,47,0,0,5,1,0
K19,loc:199,locality,loc:199,199,אשדות יעקב (איחוד),1,1,547,378,377,1,אמת,152,90,62,0.403183,152,0,0,0,2,0,0,10,0,0,18,1,17,33,25,0,1,2,0,0,0,90,0,0,0,0,0,4,19,0,0,3,0,0
K19,loc:200,locality,loc:200,200,בית ינאי,1,1,309,226,226,0,פה,55,54,1,0.243363,54,0,0,0,0,0,4,19,0,0,1,0,5,13,44,0,0,1,0,0,0,55,0,0,0,0,0,1,24,0,2,2,1,0
K19,loc:2002,locality,loc:2002,2002,תנובות,1,1,548,409,405,4,מחל,80,60,20,0.197531,58,1,0,0,0,0,0,7,0,0,47,0,47,80,16,0,0,3,0,1,0,60,4,0,0,0,0,10,26,0,1,16,0,28
K19,loc:2003,locality,loc:2003,2003,תלמי אלעזר,1,1,528,410,407,3,מחל,112,110,2,0.275184,88,0,0,0,1,0,0,13,0,1,19,0,8,112,21,0,0,3,1,0,0,110,1,0,0,0,0,6,18,0,1,3,0,1
K19,loc:2008,locality,loc:2008,2008,שדה יצחק,1,1,364,258,257,1,פה,70,36,34,0.272374,36,4,0,0,0,0,3,4,0,1,19,0,30,29,21,0,0,2,0,0,1,70,2,0,0,0,0,6,22,0,0,4,0,3
K19,loc:2009,locality,loc:2009,2009,יובל,1,1,382,283,283,0,מחל,69,58,11,0.243816,58,0,0,1,0,0,0,4,0,0,34,0,16,69,9,0,0,2,0,0,0,35,0,0,0,0,0,11,23,0,0,2,0,19
K19,loc:2010,locality,loc:2010,2010,כפר בן נון,1,1,435,353,351,2,פה,82,65,17,0.233618,55,0,0,0,1,0,5,10,0,2,14,0,12,65,52,0,0,3,0,0,0,82,3,0,0,1,0,5,36,0,0,4,0,1
K19,loc:2011,locality,loc:2011,2011,ינון,2,2,721,499,494,5,מחל,185,68,117,0.374494,46,2,1,0,0,0,0,7,0,0,68,0,4,185,1,0,0,16,0,1,1,46,33,0,0,0,2,9,20,0,0,3,1,48
K19,loc:2012,locality,loc:2012,2012,אורות,1,1,401,285,285,0,אמת,96,51,45,0.336842,96,0,0,0,0,0,0,3,0,0,16,0,6,38,28,0,0,2,0,0,0,51,0,0,0,0,0,8,23,0,0,9,2,3
K19,loc:2013,locality,loc:2013,2013,בן שמן (מושב),1,1,547,430,430,0,פה,103,91,12,0.239535,80,1,0,0,0,0,5,10,0,0,21,0,11,91,37,0,2,0,0,0,0,103,0,0,0,0,0,6,54,0,0,3,1,5
K19,loc:2014,locality,loc:2014,2014,גבעולים,1,1,234,173,171,2,מחל,72,35,37,0.421053,1,2,0,0,0,0,0,0,0,0,22,0,19,72,0,0,0,1,0,0,0,6,7,0,0,0,0,0,4,0,0,2,0,35
K19,loc:2015,locality,loc:2015,2015,שדי חמד,1,1,687,540,539,1,פה,162,115,47,0.300557,115,0,0,0,0,0,2,15,0,1,24,0,28,69,49,0,0,2,0,0,0,162,2,0,0,0,0,12,42,0,0,10,5,1
K19,loc:2016,locality,loc:2016,2016,רוויה,1,1,210,142,142,0,שס,59,42,17,0.415493,1,2,0,0,0,0,0,0,0,0,22,0,3,42,0,0,0,2,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,59
K19,loc:2018,locality,loc:2018,2018,גבעת חיים (איחוד),2,2,870,657,656,1,אמת,348,126,222,0.530488,348,0,0,0,0,0,3,5,0,0,3,2,7,9,126,0,0,0,0,0,0,103,0,0,0,0,0,2,43,0,0,3,1,1
K19,loc:202,locality,loc:202,202,בית עובד,1,1,251,204,202,2,אמת,73,42,31,0.361386,73,0,0,0,0,0,0,5,0,0,2,0,6,18,26,0,0,0,0,0,0,42,0,0,0,0,0,2,21,0,0,3,2,2
K19,loc:2021,locality,loc:2021,2021,אשל הנשיא,1,1,87,56,56,0,אמת,13,8,5,0.232143,13,0,0,0,0,0,0,1,0,0,8,0,1,8,3,0,0,2,0,2,0,6,0,0,0,0,0,4,4,0,0,1,1,2
K19,loc:2023,locality,loc:2023,2023,להב,1,1,375,290,289,1,מרץ,93,82,11,0.321799,82,0,0,0,0,0,0,2,0,0,3,0,1,12,93,0,0,0,0,0,0,49,0,0,0,0,0,1,36,0,0,6,0,4
K19,loc:2024,locality,loc:2024,2024,אום אל-קוטוף,1,1,570,312,310,2,עם,134,85,49,0.432258,13,1,85,0,0,0,26,0,0,0,0,0,0,4,37,0,0,0,0,134,0,0,0,0,0,0,0,2,0,0,3,1,1,3
K19,loc:2026,locality,loc:2026,2026,ירדנה,1,1,273,164,163,1,מחל,60,27,33,0.368098,24,2,0,0,0,0,0,0,0,0,19,0,12,60,0,0,0,2,0,0,0,12,0,0,0,0,0,0,4,1,0,0,0,27
K19,loc:2029,locality,loc:2029,2029,מדרך עוז,1,1,484,330,328,2,מחל,109,54,55,0.332317,29,5,0,0,0,0,0,2,0,0,54,0,31,109,4,0,0,1,0,0,0,41,10,0,0,0,0,3,10,0,0,4,0,25
K19,loc:2030,locality,loc:2030,2030,מנוחה,1,1,336,226,225,1,מחל,92,47,45,0.408889,3,4,0,0,0,0,0,0,0,0,47,0,18,92,2,0,0,6,0,0,0,6,4,0,0,0,0,2,3,0,0,0,0,38
K19,loc:2033,locality,loc:2033,2033,בית חלקיה,1,1,347,296,294,2,ג,260,15,245,0.884354,1,260,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,15
K19,loc:2034,locality,loc:2034,2034,חצור הגלילית,11,11,6799,4471,4418,53,מחל,1475,756,719,0.333861,230,638,1,0,2,0,1,7,0,8,548,8,59,1475,16,0,0,94,0,1,1,297,43,1,0,2,7,81,100,3,1,34,4,756
K19,loc:2035,locality,loc:2035,2035,עדנים,1,1,283,225,225,0,פה,73,38,35,0.324444,38,0,0,0,0,0,0,14,0,0,2,0,12,36,24,0,0,0,0,0,0,73,0,0,0,0,0,4,19,1,0,2,0,0
K19,loc:2038,locality,loc:2038,2038,ברקת,2,2,877,724,723,1,טב,185,177,8,0.255878,7,11,0,0,0,0,0,0,0,0,185,0,0,105,0,0,0,177,1,0,1,5,103,1,0,0,0,4,3,0,0,6,1,113
K19,loc:204,locality,loc:204,204,אלישיב,1,1,449,349,345,4,מחל,103,48,55,0.298551,29,4,0,0,0,0,1,0,0,1,48,0,23,103,12,0,0,5,1,0,0,30,12,0,0,1,0,17,15,0,0,6,0,37
K19,loc:2042,locality,loc:2042,2042,עין גדי,1,1,443,309,307,2,אמת,111,55,56,0.361564,111,0,0,0,0,1,1,16,0,1,7,0,8,31,55,0,0,0,0,0,0,38,1,0,0,0,0,5,22,0,0,6,1,3
K19,loc:2043,locality,loc:2043,2043,בחן,1,1,445,352,351,1,אמת,119,93,26,0.339031,119,0,0,0,0,0,0,8,0,1,10,0,5,29,35,0,0,1,0,0,0,93,0,0,0,0,0,1,38,0,1,9,1,0
K19,loc:2044,locality,loc:2044,2044,מלילות,1,1,220,178,174,4,מחל,58,47,11,0.333333,2,0,0,0,0,0,0,0,0,0,34,0,21,58,0,0,0,4,0,0,0,3,1,0,0,0,0,2,2,0,0,0,0,47
K19,loc:2045,locality,loc:2045,2045,נחלה,1,1,351,264,263,1,טב,59,52,7,0.224335,35,4,0,0,0,0,0,0,0,0,59,0,19,52,0,0,0,2,0,0,0,13,24,0,0,1,0,9,8,2,0,2,0,33
K19,loc:2046,locality,loc:2046,2046,סגולה,1,1,381,291,290,1,אמת,91,62,29,0.313793,91,1,0,0,0,0,0,1,0,0,19,0,6,50,15,0,0,4,0,0,0,62,0,0,0,0,0,2,25,1,0,4,0,9
K19,loc:2047,locality,loc:2047,2047,ניר משה,1,1,362,255,255,0,אמת,59,58,1,0.231373,59,0,0,0,0,0,2,2,0,1,17,0,3,58,23,0,0,2,0,0,0,48,0,0,0,0,0,2,16,1,0,7,2,12
K19,loc:2048,locality,loc:2048,2048,ניר עקיבא,1,1,339,243,239,4,טב,50,34,16,0.209205,34,2,0,0,0,0,0,5,0,2,50,0,11,30,8,0,1,17,2,0,0,21,2,0,0,0,0,5,16,0,0,6,0,27
K19,loc:2049,locality,loc:2049,2049,שדה צבי,1,1,302,203,201,2,מחל,57,46,11,0.283582,18,1,1,0,0,0,0,7,0,0,22,0,9,57,5,0,0,3,0,0,0,25,1,0,0,0,0,1,5,0,0,0,0,46
K19,loc:205,locality,loc:205,205,חגלה,1,1,434,358,357,1,אמת,124,105,19,0.347339,124,0,0,0,0,0,2,8,0,0,15,0,5,20,40,0,0,2,0,0,0,105,1,0,0,1,0,0,31,0,0,2,1,0
K19,loc:2050,locality,loc:2050,2050,"תלמי ביל""ו",1,1,272,176,172,4,מחל,64,26,38,0.372093,5,0,0,0,0,0,0,0,0,0,18,0,25,64,1,0,0,3,0,0,0,13,2,0,0,0,0,3,12,0,0,0,0,26
K19,loc:2051,locality,loc:2051,2051,רווחה,1,1,396,301,298,3,שס,92,88,4,0.308725,8,1,0,0,0,0,0,0,0,0,71,0,8,88,1,0,0,8,0,0,0,9,3,0,0,0,0,1,3,0,0,5,0,92
K19,loc:2052,locality,loc:2052,2052,אביטל,1,1,376,262,261,1,מחל,97,54,43,0.371648,19,1,0,0,0,0,0,0,0,0,54,0,10,97,1,0,0,37,0,0,0,15,2,0,0,0,0,1,3,0,1,4,0,16
K19,loc:2053,locality,loc:2053,2053,פרזון,1,1,298,198,197,1,מחל,91,29,62,0.461929,29,4,0,0,0,0,0,3,0,0,22,0,4,91,2,0,0,9,0,0,0,17,2,0,0,0,0,1,8,0,0,1,0,4
K19,loc:2054,locality,loc:2054,2054,מיטב,1,1,345,234,232,2,מחל,98,37,61,0.422414,27,0,0,0,0,0,0,1,0,0,37,0,21,98,1,0,0,18,0,0,0,14,0,0,0,0,0,0,2,1,0,2,0,10
K19,loc:2055,locality,loc:2055,2055,מאור,1,1,714,555,553,2,מחל,122,117,5,0.220615,105,2,0,0,0,0,0,4,0,1,40,0,23,122,42,0,1,4,0,0,0,117,21,0,0,0,0,6,39,0,0,9,2,15
K19,loc:2057,locality,loc:2057,2057,שדי תרומות,1,1,324,179,176,3,מחל,92,21,71,0.522727,6,1,0,0,0,0,0,1,0,0,20,0,7,92,0,0,0,3,0,0,0,13,0,0,0,0,0,2,9,0,0,1,0,21
K19,loc:2059,locality,loc:2059,2059,"פעמי תש""ז",1,1,303,207,204,3,שס,78,43,35,0.382353,22,1,0,0,0,0,0,0,0,0,12,1,12,43,3,0,0,0,0,0,0,7,13,0,0,1,0,4,2,1,0,4,0,78
K19,loc:206,locality,loc:206,206,רמות השבים,2,2,1072,824,821,3,פה,278,158,120,0.338611,158,4,0,0,1,0,2,18,0,3,21,0,20,65,135,0,1,3,0,0,0,278,1,0,0,0,0,6,91,0,1,7,1,5
K19,loc:2060,locality,loc:2060,2060,ברוש,1,1,208,162,162,0,צפ,49,44,5,0.302469,8,1,0,0,0,0,0,0,0,0,22,0,2,44,1,0,0,1,0,0,0,8,0,0,0,0,0,1,49,0,0,2,0,23
K19,loc:2061,locality,loc:2061,2061,תדהר,1,1,237,170,170,0,מחל,38,35,3,0.223529,21,0,0,0,0,0,0,0,0,0,24,0,9,38,1,0,0,0,0,0,0,11,0,0,0,0,0,9,35,0,0,0,3,19
K19,loc:2062,locality,loc:2062,2062,תאשור,1,1,241,163,163,0,פה,30,29,1,0.184049,24,0,2,0,0,0,1,0,0,0,12,0,8,18,10,0,0,2,0,0,0,30,0,0,0,0,0,7,29,0,0,3,0,17
K19,loc:2063,locality,loc:2063,2063,דישון,1,1,308,198,196,2,מחל,92,23,69,0.469388,13,1,0,0,0,0,0,1,0,0,23,0,7,92,4,0,0,2,0,0,0,17,0,0,0,0,0,5,6,0,0,2,0,23
K19,loc:2064,locality,loc:2064,2064,זרועה,1,1,219,136,134,2,מחל,68,28,40,0.507463,3,5,0,0,0,0,0,0,0,0,21,0,1,68,1,0,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,28
K19,loc:207,locality,loc:207,207,"גבעת ח""ן",1,1,310,262,261,1,אמת,73,66,7,0.279693,73,2,0,0,0,0,1,6,0,2,6,0,12,18,31,0,0,0,0,0,0,66,0,0,0,0,1,2,36,0,0,4,1,0
K19,loc:208,locality,loc:208,208,מוצא עילית,2,2,695,479,478,1,אמת,120,97,23,0.251046,120,0,0,0,1,0,11,8,0,0,20,0,17,48,97,0,0,4,0,0,1,94,0,1,0,1,0,11,36,0,0,3,2,3
K19,loc:21,locality,loc:21,21,באר אורה,1,1,170,138,138,0,פה,37,33,4,0.268116,25,0,0,0,0,0,3,0,0,0,6,0,3,33,10,0,0,0,0,0,0,37,0,0,0,0,0,3,18,0,0,0,0,0
K19,loc:2100,locality,loc:2100,2100,טירת כרמל,26,26,15839,9734,9581,153,מחל,3764,1656,2108,0.392861,759,41,0,1,11,4,5,30,0,17,848,44,526,3764,76,6,7,166,7,7,5,806,103,7,0,10,5,104,412,17,3,115,19,1656
K19,loc:213,locality,loc:213,213,משמרות,1,1,302,233,233,0,אמת,89,59,30,0.381974,89,1,0,0,0,0,0,6,0,0,4,0,3,15,23,0,0,0,0,0,0,59,0,0,0,0,0,2,22,0,1,8,0,0
K19,loc:217,locality,loc:217,217,"כפר הרא""ה",2,2,668,570,569,1,טב,375,75,300,0.659051,14,4,0,0,0,0,0,6,0,1,375,0,2,75,3,0,0,26,0,0,0,22,0,0,0,0,0,17,4,0,0,0,1,19
K19,loc:218,locality,loc:218,218,גני עם,1,1,204,180,180,0,אמת,50,50,0,0.277778,50,0,0,0,0,0,1,2,0,0,4,0,6,23,20,0,0,0,0,0,0,50,0,0,0,0,0,1,21,0,0,0,0,2
K19,loc:219,locality,loc:219,219,חיבת ציון,1,1,415,339,338,1,אמת,71,64,7,0.210059,71,1,0,0,0,0,1,15,0,0,64,0,12,32,25,0,0,10,0,0,0,57,0,0,0,0,0,14,30,0,0,3,2,1
K19,loc:22,locality,loc:22,22,מקווה ישראל,1,1,167,113,113,0,אמת,28,21,7,0.247788,28,0,0,0,0,0,1,1,0,0,19,0,3,21,5,0,0,0,0,0,0,15,0,0,0,0,0,3,13,0,0,1,1,2
K19,loc:220,locality,loc:220,220,כפר ביאליק,1,1,406,288,285,3,פה,74,65,9,0.259649,65,1,0,0,0,0,0,5,0,0,16,0,16,36,19,0,0,3,0,0,0,74,0,0,0,0,0,7,38,1,0,1,0,3
K19,loc:2200,locality,loc:2200,2200,דימונה,46,46,26763,14190,13881,309,מחל,4411,2759,1652,0.317772,771,50,2,1,29,3,5,42,0,28,1931,201,207,4411,71,13,7,232,6,29,50,1921,120,11,0,17,21,281,474,14,11,140,23,2759
K19,loc:223,locality,loc:223,223,עין עירון,1,1,361,296,296,0,פה,86,71,15,0.290541,71,0,1,0,0,0,5,20,0,1,10,0,4,14,44,0,0,0,0,0,0,86,0,0,0,2,0,5,25,0,0,7,1,0
K19,loc:224,locality,loc:224,224,שושנת העמקים,1,1,479,308,307,1,מחל,77,52,25,0.250814,30,0,0,0,0,0,0,12,0,1,31,1,20,77,7,0,0,7,0,0,0,52,5,0,0,1,0,3,13,0,0,10,3,34
K19,loc:225,locality,loc:225,225,גן השומרון,1,1,568,442,442,0,פה,126,95,31,0.285068,95,0,0,0,0,1,2,11,0,2,27,0,19,42,52,0,0,2,1,0,0,126,0,0,0,0,0,5,49,0,0,5,0,3
K19,loc:229,locality,loc:229,229,גני תקווה,18,18,10748,8220,8170,50,פה,2023,1570,453,0.247613,1260,242,0,0,10,1,14,86,0,10,634,6,177,1570,437,1,3,88,0,0,0,2023,62,4,0,0,5,134,532,5,5,66,16,779
K19,loc:23,locality,loc:23,23,אמציה,1,1,341,275,275,0,טב,186,21,165,0.676364,8,0,0,0,0,0,0,2,0,0,186,0,3,21,2,0,0,17,0,0,0,11,0,0,0,0,0,9,8,0,0,1,2,5
K19,loc:230,locality,loc:230,230,מעש,2,2,652,510,509,1,אמת,128,114,14,0.251473,128,2,0,0,0,0,2,5,0,4,34,0,10,91,45,0,0,3,0,0,0,114,2,0,0,0,0,12,45,0,0,6,2,4
K19,loc:2300,locality,loc:2300,2300,קריית טבעון,23,23,12818,9205,9158,47,אמת,2543,2017,526,0.277681,2543,127,4,0,9,0,65,142,0,11,371,8,231,1376,1044,2,8,86,0,4,4,2017,8,1,0,1,7,124,768,2,14,87,10,84
K19,loc:232,locality,loc:232,232,שפיים,2,2,880,684,682,2,אמת,282,167,115,0.41349,282,3,0,0,0,0,5,12,0,1,6,0,4,25,122,0,0,0,1,0,0,167,0,0,0,0,0,3,35,0,8,5,3,0
K19,loc:233,locality,loc:233,233,כפר ידידיה,1,1,478,402,402,0,פה,124,123,1,0.308458,123,2,0,0,0,0,1,7,0,0,10,0,7,20,65,0,0,0,0,0,1,124,0,0,0,0,0,4,33,0,0,5,0,0
K19,loc:234,locality,loc:234,234,ביצרון,2,2,760,629,626,3,פה,198,174,24,0.316294,174,1,0,0,0,0,1,8,0,0,28,0,24,73,41,0,0,3,0,0,1,198,0,0,0,0,0,5,54,0,0,7,4,4
K19,loc:235,locality,loc:235,235,חבצלת השרון,1,1,343,230,229,1,פה,53,46,7,0.231441,46,0,0,0,0,0,1,12,0,0,18,0,6,27,28,0,0,0,0,0,0,53,8,0,0,0,0,5,13,0,1,3,0,8
K19,loc:237,locality,loc:237,237,שער העמקים,1,1,540,421,421,0,מרץ,171,116,55,0.406176,116,0,0,0,0,0,4,13,0,0,1,0,5,6,171,0,0,1,0,0,0,67,1,0,0,0,0,2,29,0,0,4,1,0
K19,loc:239,locality,loc:239,239,גן חיים,1,1,527,430,428,2,פה,124,115,9,0.28972,115,1,0,0,0,0,1,3,0,0,18,0,19,24,54,0,0,1,0,0,0,124,1,0,0,0,0,6,49,0,0,10,0,2
K19,loc:24,locality,loc:24,24,לכיש,1,1,458,378,377,1,אמת,117,88,29,0.310345,117,0,1,0,1,0,0,8,0,1,17,0,12,17,61,0,0,2,0,0,0,88,0,0,0,0,0,10,35,0,0,6,0,1
K19,loc:240,locality,loc:240,240,יקנעם עילית,25,25,14599,9986,9849,137,מחל,3604,1890,1714,0.365925,1257,50,0,3,15,1,9,37,0,17,813,69,223,3604,209,3,1,142,1,2,7,1890,135,5,0,12,9,144,498,11,0,125,28,529
K19,loc:2400,locality,loc:2400,2400,אור יהודה,45,45,25851,16278,16019,259,מחל,5265,3462,1803,0.328672,1431,128,3,3,59,2,22,47,0,17,913,17,485,5265,291,5,0,238,5,13,1,2220,207,68,0,19,7,139,759,11,8,140,34,3462
K19,loc:241,locality,loc:241,241,יקנעם (מושבה),2,2,952,743,739,4,אמת,237,209,28,0.320704,237,0,0,0,0,0,0,9,0,0,39,0,17,48,87,0,0,1,0,0,0,209,0,0,0,0,0,11,63,0,1,8,2,7
K19,loc:242,locality,loc:242,242,בית השיטה,2,2,988,714,712,2,אמת,376,115,261,0.52809,376,0,0,0,0,0,1,17,0,0,23,0,10,35,52,0,0,11,0,0,0,115,0,0,0,0,0,3,58,0,1,6,4,0
K19,loc:246,locality,loc:246,246,נתיבות,30,30,18214,13349,13202,147,שס,5809,3509,2300,0.440009,187,889,2,2,4,3,6,33,0,10,1436,66,92,3509,34,2,5,220,3,1,5,201,122,1,0,14,12,125,324,3,4,66,12,5809
K19,loc:247,locality,loc:247,247,רשפון,2,2,861,670,668,2,פה,234,111,123,0.350299,111,1,0,0,0,0,1,10,0,1,28,0,12,80,95,0,0,3,0,0,1,234,0,0,0,0,0,8,65,0,0,14,4,0
K19,loc:248,locality,loc:248,248,בית שערים,1,1,452,385,384,1,אמת,97,96,1,0.252604,97,0,0,0,1,0,1,8,0,2,18,0,3,59,33,0,0,2,0,0,0,96,0,0,0,0,0,3,58,0,0,2,0,1
K19,loc:249,locality,loc:249,249,כפר סירקין,2,2,844,674,667,7,פה,206,138,68,0.308846,138,1,0,0,1,0,2,18,0,2,21,0,28,81,56,1,0,5,0,0,0,206,6,0,0,0,0,10,73,0,0,9,2,7
K19,loc:250,locality,loc:250,250,הזורע,2,2,850,574,570,4,אמת,228,186,42,0.4,228,0,0,0,0,0,2,22,0,0,7,0,3,9,186,0,0,6,0,0,1,58,1,0,0,0,0,1,37,0,1,5,1,2
K19,loc:2500,locality,loc:2500,2500,נשר,32,32,19042,11986,11823,163,מחל,4352,2269,2083,0.368096,1494,77,11,3,13,1,29,92,0,25,754,142,216,4352,287,6,4,122,4,10,0,2269,56,7,0,12,11,125,815,22,8,176,35,645
K19,loc:252,locality,loc:252,252,ביתן אהרן,1,1,136,98,97,1,פה,35,26,9,0.360825,26,0,0,0,0,0,0,6,0,0,1,0,1,6,10,0,0,0,0,0,0,35,0,0,0,0,0,0,12,0,0,0,0,0
K19,loc:253,locality,loc:253,253,חולתה,1,1,371,273,272,1,אמת,130,35,95,0.477941,130,3,0,0,0,0,0,10,0,0,4,1,2,9,34,0,0,5,0,0,0,35,0,0,0,0,1,1,29,0,0,7,0,1
K19,loc:2530,locality,loc:2530,2530,באר יעקב,17,17,9560,6882,6828,54,מחל,1869,1642,227,0.273726,852,81,0,0,6,2,2,58,0,8,514,14,158,1869,137,2,4,109,3,8,1,1642,50,0,0,18,9,113,352,4,2,63,17,730
